war_id,war_name,war_type,side1_code,side1_name,side2_code,side2_name,international_war,start_year1,start_month1,start_day1,end_year1,end_month1,end_day1,start_year2,start_month2,start_day2,end_year2,end_month2,end_day2,previous_war,initiation,combat_location,side1_fatalities,side2_fatalities,outcome,next_war
500,First Caucasus,5,365,Russia,-8,"Georgians, Dhagestania, Chechens",0,1818,6,10,1822,-9,-9,-8,-8,-8,-8,-8,-8,-8,Chechens,2,5000,6000,1,-8
501,Sidon-Damascus,6,-8,Sidon,-8,Damascus & Aleppo,0,1820,6,-9,1821,7,21,-8,-8,-8,-8,-8,-8,-8,Sidon,6,-9,-9,2,-8
502,First Two Sicilies,4,300,Austria,-8,-8,1,1821,3,-9,1821,3,23,-8,-8,-8,-8,-8,-8,-8,Liberals,2,-9,-8,1,-8
502,First Two Sicilies,4,329,Two Sicilies,-8,Liberals,1,1820,7,2,1821,3,23,-8,-8,-8,-8,-8,-8,-8,Liberals,2,-9,-9,1,-8
503,Spanish Royalists,4,230,Spain,-8,Royalists,0,1821,12,1,1823,4,6,-8,-8,-8,-8,-8,-8,-8,Royalists,2,-9,-9,4,1
505,Sardinian Revolt,4,300,Austria,-8,-8,1,1821,3,10,1821,5,8,-8,-8,-8,-8,-8,-8,-8,Carbonari,2,-9,-8,1,-8
505,Sardinian Revolt,4,325,Sardinia,-8,Carbonari,1,1821,3,10,1821,5,8,-8,-8,-8,-8,-8,-8,-8,Carbonari,2,-9,-9,1,-8
506,Greek Independence,5,640,Ottoman Empire,-8,Greeks,1,1821,3,25,1828,4,25,-8,-8,-8,-8,-8,-8,-8,Greeks,2,6000,3000,4,4
506,Greek Independence,5,-8,-8,200,United Kingdom,1,1827,10,20,1827,10,27,-8,-8,-8,-8,-8,-8,-8,Greeks,2,-8,80,4,4
506,Greek Independence,5,-8,-8,220,France,1,1827,10,20,1827,10,27,-8,-8,-8,-8,-8,-8,-8,Greeks,2,-8,40,4,4
506,Greek Independence,5,-8,-8,365,Russia,1,1827,10,20,1828,4,25,-8,-8,-8,-8,-8,-8,-8,Greeks,2,-8,60,4,4
507,Egypt-Mehdi,6,-8,Egypt,-8,Mehdi army,0,1824,3,20,1824,4,-9,-8,-8,-8,-8,-8,-8,-8,Mehdi army,6,-9,-9,1,-8
508,Janissari Revolt,4,640,Ottoman Empire,-8,Janissaries,0,1826,6,14,1826,9,30,-8,-8,-8,-8,-8,-8,-8,Janissaries,6,300,6000,1,-8
510,Miguelite War,4,-8,-8,200,United Kingdom,1,1831,7,1,1834,5,26,-8,-8,-8,-8,-8,-8,-8,Constitutionalists,2,-8,100,2,-8
510,Miguelite War,4,235,Portugal,-8,Constitutionalists,1,1828,7,11,1834,5,26,-8,-8,-8,-8,-8,-8,-8,Constitutionalists,2,12000,8000,2,-8
511,First Murid War,5,365,Russia,-8,Ghazi Muhammad,0,1830,-9,-9,1832,10,17,-8,-8,-8,-8,-8,-8,-8,Ghazi Muhammad,2,1000,500,1,-8
512,First Albanian Revolt,5,640,Ottoman Empire,-8,Albanians,0,1830,2,-9,1831,11,-9,-8,-8,-8,-8,-8,-8,-8,Albanians,2,5000,10000,1,-8
513,First French Insurrection,4,220,France,-8,Liberals,0,1830,7,25,1830,7,29,-8,-8,-8,-8,-8,-8,-8,Liberals,2,400,1800,2,-8
515,Belgian Independence,5,210,Netherlands,-8,Belgians,0,1830,8,25,1830,11,4,-8,-8,-8,-8,-8,-8,-8,Belgians,2,500,600,2,-8
516,Egyptian Taka Expedition,6,-8,Egypt,-8,Hadendowa,0,1831,-9,-9,1832,-9,-9,-8,-8,-8,-8,-8,-8,-8,Egypt,6,1500,-9,2,-8
517,First Polish,5,365,Russia,-8,Poles,0,1831,2,7,1831,10,18,-8,-8,-8,-8,-8,-8,-8,Poles,2,15000,20000,1,-8
518,First Syrian,5,640,Ottoman Empire,-8,Egyptians & Bashir,0,1831,10,1,1832,12,27,-8,-8,-8,-8,-8,-8,-8,Egyptians,6,8000,4000,2,-8
520,First Mexican,4,70,Mexico,-8,Liberals,0,1832,1,2,1832,12,11,-8,-8,-8,-8,-8,-8,-8,Liberals,1,-9,-9,2,-8
521,Egypt- Palestinian Anti-Conscription Revolt,6,-8,Palestinians,-8,Egypt,0,1834,4,19,1834,10,-9,-8,-8,-8,-8,-8,-8,-8,Palestinians,6,1500,500,2,-8
522,First Carlist War,4,235,Portugal,-8,-8,1,1835,10,15,1836,2,15,-8,-8,-8,-8,-8,-8,-8,Carlists,2,50,-8,1,-8
522,First Carlist War,4,230,Spain,-8,Carlists,1,1834,7,15,1840,7,15,-8,-8,-8,-8,-8,-8,-8,Carlists,2,65000,60000,1,-8
522,First Carlist War,4,220,France,-8,-8,1,1835,10,31,1839,1,17,-8,-8,-8,-8,-8,-8,-8,Carlists,2,7700,-8,1,-8
522,First Carlist War,4,200,United Kingdom,-8,-8,1,1835,7,10,1837,9,1,-8,-8,-8,-8,-8,-8,-8,Carlists,2,2500,-8,1,-8
523,Second Murid,5,365,Russia,-8,Shamil,0,1834,9,26,1834,10,27,-8,-8,-8,-8,-8,-8,-8,Shamil,2,-9,-9,7,-8
525,Cabanos Revolt,5,140,Brazil,-8,Cabanos,0,1835,1,6,1837,5,-9,-8,-8,-8,-8,-8,-8,-8,Cabanos,1,-9,-9,1,-8
526,Farroupilha War,5,140,Brazil,-8,Farrapos,0,1835,9,19,1845,3,1,-8,-8,-8,-8,-8,-8,-8,Farrapos,1,-9,-9,1,-8
527,Texan,5,70,Mexico,-8,Texans,0,1835,10,1,1836,4,22,-8,-8,-8,-8,-8,-8,-8,Texans,1,1500,700,2,-8
528,First Bosnian,5,640,Ottoman Empire,-8,Bosnians,0,1836,-9,-9,1837,-9,-9,-8,-8,-8,-8,-8,-8,-8,Bosnians,2,-9,-9,1,-8
530,Third Murid,5,365,Russia,-8,Shamil,0,1836,7,-9,1852,-9,-9,-8,-8,-8,-8,-8,-8,-8,Shamil,2,15000,-9,1,-8
531,Sabinada Rebellion,5,140,Brazil,-8,Bahian Sabinada,0,1837,11,7,1838,3,13,-8,-8,-8,-8,-8,-8,-8,Bahian Sabinada,1,600,1200,1,-8
532,Druze Rebellion,6,-8,Egypt & Bashir,-8,Druze,0,1837,9,27,1838,8,22,-8,-8,-8,-8,-8,-8,-8,Druze,6,15000,-9,1,-8
533,"Second Syrian, Phase 1",5,640,Ottoman Empire,-8,Egypt,0,1839,6,10,1839,6,24,-8,-8,-8,-8,-8,-8,-8,Mehmet Ali,6,2000,1000,2,-8
535,Lebanon Insurgency,6,-8,Lebanese Maronites,-8,Amir Bashir & Egypt,0,1840,5,27,1840,7,13,-8,-8,-8,-8,-8,-8,-8,Amir Bashir & Egypt,6,3500,1000,2,-8
536,First Colombian,4,100,Colombia,-8,Progressives,0,1840,7,15,1842,7,15,-8,-8,-8,-8,-8,-8,-8,Progressives,1,-9,-9,2,-8
537,"Second Syrian, Phase 2",5,200,United Kingdom,-8,-8,1,1840,9,9,1840,11,27,-8,-8,-8,-8,-8,-8,-8,United Kingdom,6,14,-8,1,-8
537,"Second Syrian, Phase 2",5,640,Ottoman Empire,-8,Egypt,1,1840,9,9,1840,11,27,-8,-8,-8,-8,-8,-8,-8,United Kingdom,6,8000,19000,1,-8
538,"First Argentina War, Phase 2",4,160,Argentina,-8,Unitarios,0,1841,1,1,1842,12,6,-8,-8,-8,-8,-8,-8,1527,Unitarios,1,300,3000,1,-8
540,Second Bosnian,5,640,Ottoman Empire,-8,Bosnians,0,1841,-9,-9,1841,-9,-9,-8,-8,-8,-8,-8,-8,-8,Bosnians,2,-9,-9,1,-8
541,Triangular Revolt,4,70,Mexico,-8,Military,0,1841,9,4,1841,10,6,-8,-8,-8,-8,-8,-8,-8,Military,1,-9,-9,2,-8
542,Karbala Revolt,5,640,Ottoman Empire,-8,Karbala,0,1842,12,19,1843,1,13,-8,-8,-8,-8,-8,-8,-8,Ottomans,6,1600,3000,1,-8
543,First Maronite-Druze,7,-8,Maronites,-8,Druze,0,1845,4,30,1845,5,31,-8,-8,-8,-8,-8,-8,-8,Maronites,6,2000,1000,2,-8
545,"Mayan Caste War, Phase 1",6,-8,Mayans,-8,Yucutan,0,1847,1,15,1848,8,16,-8,-8,-8,-8,-8,-8,-8,Mayans,1,-9,1800,4,553
546,Second Carlist,4,230,Spain,-8,Carlists,0,1847,5,15,1849,5,1,-8,-8,-8,-8,-8,-8,-8,Carlists,2,3000,7000,1,-8
547,Second Two Sicilies,4,329,Two Sicilies,-8,Liberals,0,1848,1,12,1848,1,27,1848,5,15,1849,5,15,-8,Liberals,2,1500,-9,1,-8
548,First Venezuelan,4,101,Venezuela,-8,Paez led Conservatives ,0,1848,2,4,1849,8,15,-8,-8,-8,-8,-8,-8,-8,Former Pres. Paez,1,1500,-9,1,-8
550,Viennese Revolt,4,300,Austria,-8,Viennese,0,1848,3,13,1848,10,31,-8,-8,-8,-8,-8,-8,-8,Viennese,2,249,3000,1,-8
551,Milan Five Day Revolt,5,300,Austria,-8,Milan,0,1848,3,18,1848,3,23,-8,-8,-8,-8,-8,-8,-8,Milan,2,600,430,4,10
552,Second French Insurrection,4,220,France,-8,Radicals,0,1848,6,23,1848,6,26,-8,-8,-8,-8,-8,-8,-8,Radicals,2,1200,1600,1,-8
553,"Mayan Caste War, Phase 2",5,70,Mexico,-8,Yucatan Maya,0,1848,8,17,1855,3,4,-8,-8,-8,-8,-8,-8,545,Mexico,1,-9,-9,1,-8
554,Hungarian,5,300,Austria,-8,Hungary,1,1848,9,9,1849,8,13,-8,-8,-8,-8,-8,-8,-8,Magyars,2,46000,20000,1,-8
554,Hungarian,5,365,Russia,-8,-8,1,1849,7,16,1849,8,13,-8,-8,-8,-8,-8,-8,-8,Magyars,2,14500,-8,1,-8
555,First Chilean,4,155,Chile,-8,Liberals,0,1851,9,5,1851,12,15,-8,-8,-8,-8,-8,-8,-8,Liberals,1,1500,2500,1,-8
556,First Turco-Montenegrin,5,640,Ottoman Empire,-8,Montenegro & Hercegovina,0,1852,12,2,1853,3,13,-8,-8,-8,-8,-8,-8,-8,Turkey,2,-9,-9,2,-8
557,First Peru,4,135,Peru,-8,Liberals,0,1853,12,21,1855,1,7,-8,-8,-8,-8,-8,-8,-8,Liberals,1,-9,-9,2,-8
558,Puebla War,4,70,Mexico,-8,Puebla,0,1855,12,11,1856,3,21,-8,-8,-8,-8,-8,-8,-8,Military,1,600,3000,1,-8
560,Second Peru,4,135,Peru,-8,Conservatives,0,1856,10,31,1858,3,7,-8,-8,-8,-8,-8,-8,-8,Conservatives,1,-9,-9,1,-8
561,Mexican Reform,4,70,Mexico,-8,Liberals,0,1858,2,15,1861,1,1,-8,-8,-8,-8,-8,-8,-8,Liberals,1,-9,-9,4,-8
562,Second Turco-Montenegrin,5,640,Ottoman Empire,-8,Montenegrins,0,1858,5,4,1859,6,1,-8,-8,-8,-8,-8,-8,-8,Montenegrins,2,3000,1400,2,-8
563,Second Venezuelan/Federalist,4,101,Venezuela,-8,Liberals,0,1859,2,1,1863,5,23,-8,-8,-8,-8,-8,-8,-8,Liberals,1,15000,5000,2,-8
565,Second Colombian,4,100,Colombia,-8,Liberals,0,1860,5,15,1861,7,18,-8,-8,-8,-8,-8,-8,-8,Liberals,1,-9,-9,2,-8
566,Second Maronite-Druze,7,-8,Maronites,-8,Druze,0,1860,5,26,1860,7,12,-8,-8,-8,-8,-8,-8,-8,Maronites,6,8000,1500,2,-8
567,"Taiping Rebellion, Phase 2",4,710,China,-8,Taipings,1,1860,10,25,1866,2,9,-8,-8,-8,-8,-8,-8,1534,Taipings,7,26000,85000,1,-8
567,"Taiping Rebellion, Phase 2",4,200,United Kingdom,-8,-8,1,1862,3,1,1862,8,1,-8,-8,-8,-8,-8,-8,1534,Taipings,7,25,-8,1,-8
568,Second Nien Revolt,5,710,China,-8,Niens,0,1860,10,25,1868,8,16,-8,-8,-8,-8,-8,-8,,Niens,7,-9,-9,1,-8
570,Miao Revolt Phase 2,5,710,China,-8,Miaos,0,1860,10,25,1872,5,1,-8,-8,-8,-8,-8,-8,1537,Miaos,7,-9,-9,1,-8
571,Panthay Rebellion Phase 2,5,710,China,-8,Muslims (Hui),0,1860,10,25,1872,12,26,-8,-8,-8,-8,-8,-8,1542,Muslims,7,-9,-9,1,-8
572,U.S. Civil War,5,2,United States of America,-8,Confederacy,0,1861,4,10,1865,4,9,-8,-8,-8,-8,-8,-8,-8,Confederacy,1,360000,258000,1,-8
573,Third Buenos Aires,5,160,Argentina,-8,Buenos Aires,0,1861,8,20,1861,12,2,-8,-8,-8,-8,-8,-8,-8,Buenos Aires,1,500,500,2,-8
