Country,Happiness.Score
Afghanistan,3.7939999103546103
Albania,4.64400005340576
Algeria,5.872000217437741
Angola,3.79500007629395
Argentina,6.59899997711182
Armenia,4.37599992752075
Australia,7.28399991989136
Austria,7.00600004196167
Azerbaijan,5.234000205993651
Bahrain,6.08699989318848
Bangladesh,4.60799980163574
Belarus,5.5689997673034695
Belgium,6.89099979400635
Belize,5.955999851226809
Benin,3.65700006484985
Bhutan,5.01100015640259
Bolivia,5.82299995422363
Bosnia and Herzegovina,5.18200016021729
Botswana,3.7660000324249303
Brazil,6.6350002288818395
Bulgaria,4.71400022506714
Burkina Faso,4.03200006484985
Burundi,2.90499997138977
Cambodia,4.1680002212524405
Cameroon,4.69500017166138
Canada,7.31599998474121
Central African Republic,2.69300007820129
Chad,3.9360001087188703
Chile,6.65199995040894
China,5.2729997634887695
Colombia,6.35699987411499
Congo (Brazzaville),4.29099988937378
Congo (Kinshasa),4.2800002098083505
Costa Rica,7.0789999961853
Croatia,5.2930002212524405
Cyprus,5.62099981307983
Czech Republic,6.60900020599365
Denmark,7.52199983596802
Dominican Republic,5.230000019073491
Ecuador,6.00799989700317
Egypt,4.7350001335144
El Salvador,6.002999782562259
Estonia,5.61100006103516
Ethiopia,4.46000003814697
Finland,7.468999862670901
France,6.44199991226196
Gabon,4.46500015258789
Georgia,4.28599977493286
Germany,6.9510002136230495
Ghana,4.11999988555908
Greece,5.2270002365112305
Guatemala,6.4539999961853
Guinea,3.50699996948242
Haiti,3.6029999256133998
Honduras,5.1810002326965305
"Hong Kong S.A.R., China",5.47200012207031
Hungary,5.32399988174438
Iceland,7.50400018692017
India,4.31500005722046
Indonesia,5.26200008392334
Iran,4.69199991226196
Iraq,4.49700021743774
Ireland,6.9770002365112305
Israel,7.212999820709231
Italy,5.96400022506714
Ivory Coast,4.17999982833862
Jamaica,5.31099987030029
Japan,5.92000007629395
Jordan,5.33599996566772
Kazakhstan,5.8189997673034695
Kenya,4.55299997329712
Kosovo,5.27899980545044
Kuwait,6.10500001907349
Kyrgyzstan,5.0040001869201705
Latvia,5.849999904632571
Lebanon,5.22499990463257
Lesotho,3.80800008773804
Liberia,3.5329999923706095
Libya,5.525000095367429
Lithuania,5.90199995040894
Luxembourg,6.86299991607666
Macedonia,5.175000190734861
Madagascar,3.64400005340576
Malawi,3.97000002861023
Malaysia,6.08400011062622
Mali,4.19000005722046
Malta,6.52699995040894
Mauritania,4.29199981689453
Mauritius,5.62900018692017
Mexico,6.57800006866455
Moldova,5.837999820709231
Mongolia,4.95499992370605
Montenegro,5.23699998855591
Morocco,5.2350001335144
Mozambique,4.550000190734861
Myanmar,4.54500007629395
Namibia,4.57399988174438
Nepal,4.961999893188481
Netherlands,7.3769998550415
New Zealand,7.31400012969971
Nicaragua,6.07100009918213
Niger,4.02799987792969
Nigeria,5.07399988174438
North Cyprus,5.80999994277954
Norway,7.537000179290769
Pakistan,5.26900005340576
Palestinian Territories,4.77500009536743
Panama,6.4520001411438
Paraguay,5.493000030517581
Peru,5.71500015258789
Philippines,5.42999982833862
Poland,5.97300004959106
Portugal,5.19500017166138
Qatar,6.375
Romania,5.824999809265139
Russia,5.962999820709231
Rwanda,3.47099995613098
Saudi Arabia,6.343999862670901
Senegal,4.53499984741211
Serbia,5.39499998092651
Sierra Leone,4.70900011062622
Singapore,6.57200002670288
Slovakia,6.09800004959106
Slovenia,5.75799989700317
Somalia,5.151000022888179
South Africa,4.8289999961853
South Korea,5.837999820709231
South Sudan,3.5910000801086404
Spain,6.40299987792969
Sri Lanka,4.44000005722046
Sudan,4.138999938964839
Sweden,7.28399991989136
Switzerland,7.49399995803833
Syria,3.46199989318848
Taiwan Province of China,6.42199993133545
Tajikistan,5.04099988937378
Tanzania,3.34899997711182
Thailand,6.4239997863769505
Togo,3.4949998855590803
Trinidad and Tobago,6.1680002212524405
Tunisia,4.80499982833862
Turkey,5.5
Turkmenistan,5.82200002670288
Uganda,4.08099985122681
Ukraine,4.09600019454956
United Arab Emirates,6.6479997634887695
United Kingdom,6.71400022506714
United States,6.993000030517581
Uruguay,6.4539999961853
Uzbekistan,5.97100019454956
Venezuela,5.25
Vietnam,5.07399988174438
Yemen,3.59299993515015
Zambia,4.513999938964839
Zimbabwe,3.875
