Country,Unnamed: 0,Overall rank,Score,GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Generosity,Perceptions of corruption
Finland,0,1,7.769,1.34,1.587,0.986,0.596,0.153,0.393
Denmark,1,2,7.6,1.383,1.5730000000000002,0.996,0.5920000000000001,0.252,0.41
Norway,2,3,7.5539999999999985,1.4880000000000002,1.582,1.028,0.603,0.271,0.341
Iceland,3,4,7.494,1.38,1.624,1.026,0.591,0.354,0.118
Netherlands,4,5,7.487999999999999,1.396,1.5219999999999998,0.999,0.557,0.322,0.298
Switzerland,5,6,7.48,1.452,1.526,1.052,0.5720000000000001,0.263,0.343
Sweden,6,7,7.343,1.3869999999999998,1.487,1.009,0.574,0.267,0.373
New Zealand,7,8,7.307,1.3030000000000002,1.557,1.026,0.585,0.33,0.38
Canada,8,9,7.278,1.365,1.505,1.039,0.584,0.285,0.308
Austria,9,10,7.246,1.376,1.475,1.016,0.532,0.244,0.226
Australia,10,11,7.228,1.372,1.548,1.036,0.557,0.332,0.29
Costa Rica,11,12,7.167000000000002,1.034,1.4409999999999998,0.963,0.5579999999999999,0.14400000000000002,0.093
Israel,12,13,7.1389999999999985,1.276,1.455,1.029,0.371,0.261,0.08199999999999999
Luxembourg,13,14,7.09,1.609,1.479,1.012,0.526,0.194,0.316
United Kingdom,14,15,7.0539999999999985,1.3330000000000002,1.538,0.996,0.45,0.348,0.278
Ireland,15,16,7.021,1.499,1.5530000000000002,0.999,0.516,0.298,0.31
Germany,16,17,6.985,1.3730000000000002,1.454,0.987,0.495,0.261,0.265
Belgium,17,18,6.922999999999999,1.356,1.504,0.986,0.473,0.16,0.21
United States,18,19,6.892,1.433,1.457,0.8740000000000001,0.454,0.28,0.128
Czech Republic,19,20,6.852,1.269,1.487,0.92,0.457,0.046,0.036000000000000004
United Arab Emirates,20,21,6.825,1.503,1.31,0.825,0.598,0.262,0.182
Malta,21,22,6.726,1.3,1.52,0.999,0.564,0.375,0.151
Mexico,22,23,6.595,1.07,1.3230000000000002,0.861,0.433,0.07400000000000001,0.073
France,23,24,6.5920000000000005,1.324,1.472,1.045,0.436,0.111,0.183
Taiwan,24,25,6.4460000000000015,1.368,1.43,0.914,0.35100000000000003,0.242,0.097
Chile,25,26,6.444,1.159,1.369,0.92,0.35700000000000004,0.187,0.056
Guatemala,26,27,6.436,0.8,1.269,0.746,0.535,0.175,0.078
Saudi Arabia,27,28,6.375,1.403,1.357,0.795,0.439,0.08,0.132
Qatar,28,29,6.374,1.6840000000000002,1.3130000000000002,0.871,0.555,0.22,0.16699999999999998
Spain,29,30,6.354,1.286,1.484,1.062,0.362,0.153,0.079
Panama,30,31,6.3210000000000015,1.149,1.442,0.91,0.516,0.109,0.054000000000000006
Brazil,31,32,6.3,1.004,1.439,0.802,0.39,0.099,0.086
Uruguay,32,33,6.292999999999998,1.124,1.465,0.8909999999999999,0.523,0.127,0.15
Singapore,33,34,6.2620000000000005,1.5719999999999998,1.463,1.141,0.556,0.271,0.453
El Salvador,34,35,6.252999999999999,0.794,1.242,0.789,0.43,0.093,0.07400000000000001
Italy,35,36,6.223,1.294,1.4880000000000002,1.039,0.231,0.158,0.03
Bahrain,36,37,6.199,1.362,1.368,0.871,0.536,0.255,0.11
Slovakia,37,38,6.198,1.246,1.504,0.8809999999999999,0.334,0.121,0.014
Trinidad & Tobago,38,39,6.192,1.231,1.477,0.713,0.489,0.185,0.016
Poland,39,40,6.182,1.206,1.4380000000000002,0.884,0.483,0.117,0.05
Uzbekistan,40,41,6.174,0.745,1.529,0.7559999999999999,0.631,0.322,0.24
Lithuania,41,42,6.149,1.238,1.515,0.818,0.29100000000000004,0.043,0.042
Colombia,42,43,6.125,0.985,1.41,0.841,0.47,0.099,0.034
Slovenia,43,44,6.1179999999999986,1.258,1.523,0.953,0.564,0.14400000000000002,0.057
Nicaragua,44,45,6.105,0.6940000000000001,1.325,0.835,0.435,0.2,0.127
Kosovo,45,46,6.1,0.882,1.232,0.758,0.489,0.262,0.006
Argentina,46,47,6.086,1.092,1.432,0.8809999999999999,0.471,0.066,0.05
Romania,47,48,6.07,1.162,1.232,0.825,0.462,0.083,0.005
Cyprus,48,49,6.046,1.263,1.223,1.042,0.406,0.19,0.041
Ecuador,49,50,6.028,0.912,1.3119999999999998,0.868,0.498,0.126,0.087
Kuwait,50,51,6.021,1.5,1.319,0.8079999999999999,0.493,0.142,0.097
Thailand,51,52,6.007999999999999,1.05,1.409,0.828,0.557,0.359,0.028
Latvia,52,53,5.94,1.187,1.465,0.812,0.264,0.075,0.064
South Korea,53,54,5.895,1.301,1.219,1.036,0.159,0.175,0.056
Estonia,54,55,5.893,1.237,1.528,0.8740000000000001,0.495,0.103,0.161
Jamaica,55,56,5.89,0.831,1.4780000000000002,0.831,0.49,0.107,0.028
Mauritius,56,57,5.888,1.12,1.402,0.7979999999999999,0.498,0.215,0.06
Japan,57,58,5.886,1.327,1.419,1.088,0.445,0.069,0.14
Honduras,58,59,5.86,0.642,1.236,0.828,0.507,0.246,0.078
Kazakhstan,59,60,5.809,1.173,1.508,0.7290000000000001,0.41,0.146,0.096
Bolivia,60,61,5.779,0.7759999999999999,1.209,0.706,0.511,0.13699999999999998,0.064
Hungary,61,62,5.757999999999999,1.2009999999999998,1.41,0.828,0.199,0.081,0.02
Paraguay,62,63,5.7429999999999986,0.855,1.475,0.777,0.514,0.184,0.08
Northern Cyprus,63,64,5.718,1.263,1.252,1.042,0.417,0.191,0.162
Peru,64,65,5.697,0.96,1.274,0.8540000000000001,0.455,0.083,0.027000000000000003
Portugal,65,66,5.693,1.221,1.431,0.999,0.508,0.047,0.025
Pakistan,66,67,5.653,0.677,0.8859999999999999,0.535,0.313,0.22,0.098
Russia,67,68,5.648,1.183,1.452,0.726,0.334,0.08199999999999999,0.031
Philippines,68,69,5.631,0.807,1.293,0.657,0.5579999999999999,0.117,0.107
Serbia,69,70,5.603,1.004,1.383,0.8540000000000001,0.282,0.13699999999999998,0.039
Moldova,70,71,5.529,0.685,1.328,0.7390000000000001,0.245,0.181,0.0
