Time;Afghanistan;Egypt;Albania;Algeria;Angola;Equatorial Guinea;Argentina;Armenia;Azerbaijan;Ethiopia;Australia;Bahrain;Bangladesh;Barbados;Belarus;Belgium;Benin;Bhutan;Bolivia;Bosnia and Herzegovina;Botswana;Brazil;Brunei;Bulgaria;Burkina Faso;Burundi;Chile;Mainland China;Costa Rica;Cote d'Ivoire;Denmark;East Germany;Germany;Dominica;Dominican Republic;Djibouti;Ecuador;El Salvador;Eritrea;Estonia;Eswatini;Fiji;Finland;France;Gabon;The Gambia;Georgia;Ghana;Greece;UK;Guatemala;Guinea;Guinea-Bissau;Guyana;Haiti;Honduras;India;Indonesia;Iraq;Iran;Ireland;Israel;Italy;Jamaika;Japan;Yemen;Jordan;Cambodia;Cameroon;Canada;Cape Verde;Kazakhstan;Qatar;Kenya;Kyrgyzstan;Colombia;Comoros;Congo;DRC;North Korea;South Korea;Kosovo;Croatia;Cuba;Kuwait;Lao People's Democratic Republic;Lesotho;Latvia;Lebanon;Liberia;Libya;Lithuania;Luxembourg;Madagascar;Malawi;Malaysia;Maledives;Mali;Malta;Morocco;Mauritania;Mauritius;North Macedonia;Mexiko;Moldova;Mongolia;Montenegro;Mozambique;Myanmar;Namibia;Nepal;New Zealand;Nicaragua;Netherlands;Niger;Nigeria;Norway;Oman;Austria;Pakistan;Panama;Papua New Guinea;Paraguay;Peru;Philippines;Poland;Portugal;Rwanda;Romania;Russia;Salomon Islands;Zambia;Samoa;San Marino;Sao Tome and Principe;Saudi Arabia;Sweden;Senegal;Serbia;Seychelles;Sierra Leone;Singapore;Slovakia;Slovenia;Somalia;Sowjetunion;Spain;Sri Lanka;Saint Lucia;South Afrika;Sudan;South Sudan;Suriname;Syria;Tajikistan;Taiwan;Tanzania;Thailand;Timor-Leste;Togo;Trinidad and Tobago;Chad;Czech Republic;Czechoslovakia;Tunesia;Turkey;Turkmenistan;Uganda;Ukraine;Hungary;Uruguay;USA;Uzbekistan;United Arab Emirates;Vanuatu;Venezuela;Vietnam;Western Sahara;Central African Republic;Zimbabwe;Cyprus;Stateless;Without Nationality;State unknown;Without declaration
1986-12-31 23:00:00;40;11;2;6;130;0;4;1;0;142;0;0;74;0;0;0;0;0;4;0;0;0;0;13;0;1;250;24;0;0;0;0;1;0;0;0;1;1;9;0;0;0;0;1;4;0;0;108;0;0;0;1;3;0;1;0;206;0;18;941;0;2;5;0;0;0;2;11;0;0;0;0;0;0;0;2;0;3;232;0;0;0;0;0;0;3;0;0;139;1;7;0;0;0;0;0;0;0;0;5;0;0;1;0;0;0;0;5;0;0;0;0;1;0;0;2;0;0;0;394;0;0;1;5;0;188;1;3;85;2;0;0;0;0;0;0;0;3;122;0;0;1;8;0;17;0;1;602;0;1;0;0;0;138;0;0;0;0;1;2;0;1;25;101;10;3989;0;0;0;68;0;0;0;0;0;0;86;0;0;0;0;0;0;24;5
1987-12-31 23:00:00;64;11;3;7;196;0;2;0;0;105;0;0;143;0;0;0;2;1;11;0;0;0;0;7;1;0;308;20;0;2;0;0;4;0;0;0;2;0;17;0;0;0;0;0;1;1;0;99;0;1;2;0;3;0;4;0;401;0;24;494;0;1;0;0;0;0;2;30;3;0;1;0;0;0;0;3;0;6;212;0;0;0;0;2;0;10;0;0;372;0;6;0;0;1;0;0;0;0;0;5;1;0;4;0;0;0;0;1;0;0;0;0;2;0;0;3;0;0;0;577;0;0;0;9;0;160;0;2;77;2;0;1;0;0;0;1;0;0;128;0;4;0;8;0;22;5;0;912;0;4;0;0;0;166;0;0;1;0;0;4;0;7;20;70;44;5845;0;0;0;94;1;0;0;0;0;0;53;0;1;0;0;1;1;40;5
1988-12-31 23:00:00;60;16;10;16;325;4;2;0;0;108;0;0;191;0;1;0;0;0;5;1;0;0;0;25;0;12;137;18;0;1;0;0;2;0;0;0;7;4;26;0;0;0;0;2;1;1;0;112;1;1;0;1;2;0;2;0;707;0;28;295;0;4;1;0;0;1;1;17;1;0;0;0;0;0;0;15;0;1;141;0;0;0;0;0;0;0;0;0;503;1;4;0;0;1;0;0;0;1;0;4;2;0;15;0;0;0;0;0;1;0;0;0;0;1;2;7;0;0;0;654;1;0;1;1;0;282;0;2;156;5;0;0;0;0;0;0;0;2;786;0;0;0;7;0;22;3;1;1466;1;2;1;0;0;89;0;0;0;0;0;4;0;3;10;83;16;9835;0;0;0;87;0;1;0;0;0;0;72;0;0;0;0;3;0;41;4
1989-12-31 23:00:00;134;10;15;25;579;0;1;0;0;112;0;0;483;0;0;0;4;0;1;1;0;4;0;88;4;10;43;47;0;2;0;2;0;0;0;0;15;1;93;0;0;0;0;0;0;4;0;380;0;0;0;7;7;0;4;0;727;0;24;216;0;0;2;0;0;0;21;18;3;2;0;0;0;0;0;8;0;8;429;0;0;0;0;1;1;3;0;0;2499;3;2;0;0;1;0;1;0;8;0;8;1;0;27;0;0;0;0;1;1;1;0;0;4;0;8;99;0;0;0;1033;2;0;0;13;0;267;1;2;414;5;0;1;0;0;0;1;0;6;1351;0;0;0;2;0;90;10;1;4839;0;5;4;0;0;128;0;1;0;0;1;7;0;2;7;168;13;9609;0;0;0;30;0;0;0;0;0;0;58;0;0;0;0;9;0;41;1
1990-12-31 23:00:00;172;25;259;82;1120;0;4;0;0;140;0;0;682;2;0;0;5;0;2;6;0;1;0;671;9;2;13;62;0;5;0;1;7;0;0;0;25;7;166;0;0;0;0;0;3;7;0;470;1;0;0;17;23;0;5;0;1787;0;71;431;0;5;1;0;0;0;26;23;9;3;0;0;0;8;0;12;0;14;785;0;2;0;0;2;17;3;0;0;5528;63;13;0;0;0;0;0;0;5;0;39;7;0;55;0;0;0;0;3;0;0;6;0;0;0;4;307;0;0;0;1268;2;0;0;9;4;561;1;4;1908;16;0;0;0;0;0;0;1;10;5434;0;5;0;2;2;183;64;0;4816;0;11;13;0;0;269;0;2;0;0;1;12;0;5;0;24;67;7611;0;5;4;19;0;0;0;0;0;0;84;0;0;0;0;4;3;228;6
1991-12-31 23:00:00;200;28;1072;128;816;0;0;0;0;241;1;0;591;0;1;0;3;0;5;166;0;0;0;238;11;3;12;69;0;26;1;0;1;0;0;0;37;2;151;0;0;0;0;2;1;34;0;864;0;0;0;13;31;0;0;0;878;0;134;244;0;26;0;0;0;3;49;38;19;1;0;0;0;1;0;26;0;15;1418;0;0;0;152;2;1;5;1;0;1498;99;44;1;0;0;0;1;0;18;0;72;7;1;132;0;0;6;0;1;0;0;15;0;0;0;11;526;0;0;0;1387;2;0;0;26;1;69;0;14;2647;36;0;0;0;0;0;1;0;17;13442;1;5;1;0;0;882;114;0;7501;0;15;38;0;0;190;0;2;0;0;0;44;0;8;2;25;109;4535;0;6;9;10;0;1;2;0;1;0;65;0;2;0;5;9;0;238;8
1992-12-31 23:00:00;258;16;577;205;114;0;2;3;2;66;1;0;227;1;3;0;3;0;4;867;0;2;0;30;2;6;6;71;0;18;0;0;1;0;0;0;42;0;35;9;0;0;0;2;1;12;5;157;2;0;0;6;9;0;4;0;50;0;118;136;0;5;2;0;0;2;17;22;11;0;0;2;0;5;0;11;0;10;710;0;0;0;97;9;3;4;0;0;508;116;27;1;0;0;1;0;1;4;0;32;5;1;63;0;1;7;1;1;2;0;54;0;0;1;1;132;0;0;0;657;3;0;0;16;1;67;0;3;688;38;0;0;0;1;0;1;0;6;5965;0;2;0;0;1;1101;20;0;2960;0;21;57;0;0;149;6;0;0;0;0;23;0;5;1;22;92;1967;0;2;4;3;0;2;0;0;0;0;65;0;1;1;0;4;4;180;28
1993-12-31 23:00:00;141;26;2098;771;487;0;3;27;3;74;0;0;130;0;5;2;1;1;2;6992;0;1;0;23;6;4;1;74;0;30;0;0;0;0;0;0;67;0;17;0;0;0;0;2;1;204;12;82;1;2;0;14;5;0;2;0;28;0;84;109;0;4;1;0;0;2;14;33;19;0;0;0;1;1;1;17;0;8;405;0;0;0;128;7;0;13;0;2;519;234;26;8;0;0;0;0;0;6;0;10;2;0;110;0;7;8;1;0;0;0;61;0;0;0;2;106;0;0;0;434;0;0;0;29;2;18;1;9;198;42;0;0;0;0;0;1;0;39;5495;1;14;0;10;12;2396;4;0;1872;0;27;50;0;0;83;0;0;1;0;1;56;1;11;2;12;54;1281;0;1;22;5;0;3;0;0;0;1;169;0;0;0;0;0;10;159;13
1994-12-31 23:00:00;156;8;61;309;1030;1;0;28;1;100;0;0;302;0;12;0;4;1;10;3363;0;3;0;18;8;43;4;49;0;29;0;0;2;0;0;1;55;1;21;3;0;0;0;3;2;46;5;20;0;0;0;46;4;0;5;0;52;0;149;84;0;1;0;1;0;4;18;24;25;0;0;1;0;3;0;17;0;11;352;1;0;0;67;16;1;8;1;2;187;84;10;3;0;0;2;0;0;21;0;11;8;1;120;0;4;4;2;0;2;0;18;0;0;0;0;139;0;0;0;450;0;0;0;15;0;60;0;140;111;66;0;0;0;0;0;0;1;22;4417;0;51;0;7;4;1003;0;0;1522;0;20;100;0;1;55;4;1;0;0;0;36;0;8;16;0;54;1174;0;3;14;6;0;0;2;0;0;1;219;0;0;0;0;2;3;74;2
1995-12-31 23:00:00;109;5;98;373;517;0;1;22;0;144;0;1;238;0;12;0;0;4;8;3641;0;1;0;33;16;30;0;53;0;39;0;0;0;1;0;0;52;0;33;0;0;0;0;1;1;93;5;22;0;0;0;79;8;1;0;0;161;1;285;117;0;3;0;0;0;27;15;56;33;0;0;0;0;1;0;25;0;12;380;0;0;0;91;19;0;12;0;3;168;103;61;30;0;0;0;0;0;29;0;16;18;0;131;0;13;8;1;0;30;0;7;0;0;0;1;185;0;0;0;454;0;0;0;7;0;4;7;70;82;107;0;2;0;0;0;1;0;28;5715;0;108;0;2;21;593;3;0;1262;0;1;52;0;1;64;0;0;0;0;0;45;0;1;3;1;72;1364;7;2;24;1;0;1;1;0;0;1;157;0;0;1;0;0;7;109;3
