Country,Overall rank,Score,GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Generosity,Perceptions of corruption,Migration
Finland,1,7.769,1.34,1.587,0.986,0.596,0.153,0.392999999999999,0
Denmark,2,7.6,1.383,1.573,0.996,0.592,0.252,0.41,0
Norway,3,7.55399999999999,1.488,1.58199999999999,1.028,0.603,0.271,0.341,0
Netherlands,5,7.48799999999999,1.396,1.52199999999999,0.999,0.557,0.322,0.298,1
Sweden,7,7.343,1.38699999999999,1.48699999999999,1.009,0.574,0.267,0.373,1
New Zealand,8,7.307,1.303,1.557,1.026,0.585,0.33,0.38,1
Canada,9,7.278,1.365,1.505,1.039,0.584,0.285,0.308,3
Austria,10,7.246,1.376,1.475,1.016,0.532,0.244,0.226,3
Australia,11,7.228,1.37199999999999,1.548,1.036,0.557,0.332,0.29,1
Costa Rica,12,7.167,1.034,1.44099999999999,0.963,0.557999999999999,0.144,0.093,1
Israel,13,7.13899999999999,1.276,1.455,1.029,0.371,0.261,0.0819999999999999,1
Luxembourg,14,7.09,1.609,1.479,1.012,0.526,0.193999999999999,0.316,0
Ireland,16,7.021,1.499,1.553,0.999,0.516,0.298,0.31,0
Germany,17,6.985,1.373,1.454,0.987,0.495,0.261,0.265,6
Belgium,18,6.92299999999999,1.35599999999999,1.504,0.986,0.473,0.16,0.21,0
Czech Republic,20,6.852,1.269,1.48699999999999,0.92,0.457,0.046,0.036,0
United Arab Emirates,21,6.825,1.503,1.31,0.825,0.598,0.262,0.182,0
Malta,22,6.726,1.3,1.52,0.999,0.564,0.375,0.151,0
Mexico,23,6.595,1.07,1.323,0.861,0.433,0.074,0.073,5
France,24,6.592,1.324,1.472,1.045,0.436,0.111,0.183,2
Taiwan,25,6.446,1.368,1.43,0.914,0.351,0.242,0.0969999999999999,0
Chile,26,6.444,1.159,1.369,0.92,0.357,0.187,0.0559999999999999,3
Guatemala,27,6.436,0.8,1.269,0.746,0.535,0.175,0.078,0
Saudi Arabia,28,6.375,1.403,1.357,0.795,0.439,0.08,0.132,5
Qatar,29,6.374,1.684,1.313,0.871,0.555,0.22,0.166999999999999,0
Spain,30,6.354,1.286,1.484,1.062,0.362,0.153,0.079,8
Panama,31,6.321,1.149,1.442,0.91,0.516,0.109,0.054,0
Brazil,32,6.3,1.004,1.439,0.802,0.39,0.099,0.086,2
Uruguay,33,6.29299999999999,1.124,1.465,0.890999999999999,0.523,0.127,0.15,0
Singapore,34,6.262,1.57199999999999,1.463,1.141,0.556,0.271,0.452999999999999,0
El Salvador,35,6.25299999999999,0.794,1.242,0.789,0.43,0.093,0.074,10
Italy,36,6.223,1.294,1.488,1.039,0.231,0.158,0.03,8
Bahrain,37,6.199,1.36199999999999,1.368,0.871,0.536,0.255,0.11,1
Slovakia,38,6.19799999999999,1.246,1.504,0.880999999999999,0.333999999999999,0.121,0.0139999999999999,3
Trinidad & Tobago,39,6.192,1.23099999999999,1.47699999999999,0.713,0.489,0.185,0.016,0
Poland,40,6.182,1.206,1.438,0.884,0.483,0.116999999999999,0.05,4
Uzbekistan,41,6.17399999999999,0.745,1.529,0.755999999999999,0.631,0.322,0.24,2
Lithuania,42,6.149,1.238,1.515,0.818,0.291,0.043,0.042,0
Colombia,43,6.125,0.985,1.41,0.841,0.47,0.099,0.034,121
Slovenia,44,6.11799999999999,1.258,1.523,0.953,0.564,0.144,0.057,2
Nicaragua,45,6.105,0.694,1.325,0.835,0.435,0.2,0.127,12
Kosovo,46,6.1,0.882,1.232,0.758,0.489,0.262,0.006,106
Argentina,47,6.086,1.092,1.432,0.880999999999999,0.471,0.066,0.05,0
Romania,48,6.07,1.162,1.232,0.825,0.462,0.083,0.005,10
Cyprus,49,6.046,1.263,1.22299999999999,1.042,0.406,0.19,0.0409999999999999,0
Ecuador,50,6.028,0.912,1.31199999999999,0.868,0.498,0.126,0.087,2
Kuwait,51,6.021,1.5,1.319,0.807999999999999,0.493,0.142,0.0969999999999999,0
Thailand,52,6.00799999999999,1.05,1.409,0.828,0.557,0.359,0.0279999999999999,0
Latvia,53,5.94,1.187,1.465,0.812,0.264,0.075,0.064,0
South Korea,54,5.895,1.301,1.219,1.036,0.159,0.175,0.0559999999999999,0
Estonia,55,5.893,1.237,1.528,0.874,0.495,0.103,0.161,0
Jamaica,56,5.89,0.831,1.478,0.831,0.49,0.107,0.0279999999999999,6
Mauritius,57,5.888,1.12,1.402,0.797999999999999,0.498,0.215,0.06,1
Japan,58,5.886,1.327,1.419,1.088,0.445,0.069,0.14,1
Honduras,59,5.86,0.642,1.236,0.828,0.507,0.246,0.078,5
Kazakhstan,60,5.809,1.173,1.508,0.729,0.41,0.146,0.096,13
Bolivia,61,5.779,0.775999999999999,1.209,0.706,0.511,0.136999999999999,0.064,0
